Reference, Quantity, Value, Footprint, Datasheet, DigikeyPN, MouserPN, TaydaPN, AdafruitPN, PololuPN
C2 C3 ,2,"18pf","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","","BC1004CT-ND","594-K180J15C0GF5TL2","A-522","",""
C6 C7 C4 C1 C5 ,5,".1uf","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","","BC5142-ND","594-K104M15X7RF53L2","A-553","",""
D1 D3 ,2,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","","1N4148FS-ND","512-1N4148","A-157","",""
D2 ,1,"LED","LED_THT:LED_D3.0mm","","160-1853-ND","859-LTL2R3KGD-EM","A-1554","",""
J1 ,1,"BUS","Connector_PinHeader_2.54mm:PinHeader_1x39_P2.54mm_Vertical","","2057-PH2RA-80-UA-ND","517-5121TG","A-638","",""
J2 ,1,"BUSEXT","Connector_PinHeader_2.54mm:PinHeader_1x23_P2.54mm_Vertical","","2057-PH2RA-80-UA-ND","517-5121TG","A-638","",""
J3 ,1,"ISP","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","","S1012EC-40-ND","710-61304011121","A-197","",""
J4 ,1,"IOADDR","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","","S1012EC-40-ND","710-61304011121","A-197","",""
J5 ,1,"SERIAL","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Horizontal","","PH2RA-12-UA","649-1012938291204BLF","A-638","",""
J6 ,1,"LINK","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","","S1012EC-40-ND","710-61304011121","A-197","",""
J7 ,1,"SD","Connector_PinHeader_2.54mm:PinHeader_2x09_P2.54mm_Vertical","https://www.pololu.com/product/2587","2183-2587-ND","485-254","","254","2587"
R1 ,1,"10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","10KQBK-ND","603-CFR-25JB-52-10K","A-2115","",""
R2 R3 R4 R5 R6 ,5,"1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","1.0KQBK-ND","603-CFR-25JB-1K0","A-2123","",""
SW1 ,1,"RESET","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","","450-1650-ND","506-FSM4JH","A-5127","",""
SW2 ,1,"HALT","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","","450-1650-ND","506-FSM4JH","A-5127","",""
U1 ,1,"74HCT139","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74hct139","296-8390-5-ND","595-SN74HCT139N","","",""
U2 ,1,"ATMEGA1284P-PU","Package_DIP:DIP-40_W15.24mm_Socket","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega164A_PA-324A_PA-644A_PA-1284_P_Data-Sheet-40002070B.pdf","ATMEGA1284P-PU-ND","556-ATMEGA1284P-PU","","",""
U3 ,1,"74HCT00","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74ls02","296-1603-5-ND","595-SN74HCT00N","","",""
U4 ,1,"MCP23S17","Package_DIP:DIP-28_W7.62mm_Socket","http://ww1.microchip.com/downloads/en/devicedoc/20001952c.pdf","MCP23S17-E/SP-ND","579-MCP23S17-E/SP","","",""
Y1 ,1,"20MHz","Crystal:Crystal_HC49-4H_Vertical","","535-9046-ND","815-ABL-20-B2","A-236","",""
