Reference, Quantity, Value, Footprint, Datasheet, DigikeyPN, MouserPN, TaydaPN, MousrPN
BT1 ,1,"BATT","Battery:BatteryHolder_Keystone_3001_1x12mm","https://www.keyelco.com/userAssets/file/M65p9.pdf","36-3001-ND","534-3001","",""
C5 C4 C3 C2 C6 C1 ,6,"0.1uf","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","","BC5142-ND","594-K104M15X7RF53L2","A-553",""
J1 ,1,"BUS","Connector_PinHeader_2.54mm:PinHeader_1x39_P2.54mm_Vertical","","2057-PH2RA-80-UA-ND","517-5121TG","A-638",""
J2 ,1,"BUSEXT","Connector_PinHeader_2.54mm:PinHeader_1x23_P2.54mm_Vertical","","2057-PH2RA-80-UA-ND","517-5121TG","A-638",""
Q1 ,1,"2N7000","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N7000.pdf","2N7000FS-ND","512-2N7000","A-114",""
R1 ,1,"10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","10KQBK-ND","603-CFR-25JB-52-10K","A-2115",""
RN1 ,1,"10K","Resistor_THT:R_Array_SIP5","https://www.mouser.com/datasheet/2/54/4600M-777112.pdf","4605M-101-103LF-ND","652-4605M-1LF-10K","",""
U1 ,1,"Z80CPU","Package_DIP:DIP-40_W15.24mm","www.zilog.com/manage_directlink.php?filepath=docs/z80/um0080","269-3898-ND","692-Z84C0010PEG","",""
U2 ,1,"74HCT574","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74HCT574","296-1623-5-ND","595-SN74HCT574N","",""
U3 ,1,"74HCT257","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74HCT257","296-8406-5-ND","595-SN74HCT257N","",""
U4 ,1,"AS6C4008-55PCN","Package_DIP:DIP-32_W15.24mm","https://www.alliancememory.com/wp-content/uploads/pdf/AS6C4008.pdf","1450-1027-ND","913-AS6C4008-55PCN","",""
U5 ,1,"74HCT138","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74HCT138","296-1608-5-ND","595-SN74HCT138N","",""
U6 ,1,"DS1302+","Package_DIP:DIP-8_W7.62mm","https://datasheets.maximintegrated.com/en/ds/DS1302.pdf","DS1302+-ND","700-DS1302","A-1603",""
Y1 ,1,"32.768kHz","Crystal:Crystal_DS26_D2.0mm_L6.0mm_Horizontal","","300-8301-ND","695-CFS-20632768DZBB","A-1592",""
